feature,missing_count,dataset,total_rows,missing_percentage
id,0,residential_rent,19701,0.0
title,0,residential_rent,19701,0.0
price,0,residential_rent,19701,0.0
currency,0,residential_rent,19701,0.0
price_period,0,residential_rent,19701,0.0
price_type,0,residential_rent,19701,0.0
price_raw_value,0,residential_rent,19701,0.0
property_type,0,residential_rent,19701,0.0
location,0,residential_rent,19701,0.0
latitude,0,residential_rent,19701,0.0
longitude,0,residential_rent,19701,0.0
share_url,0,residential_rent,19701,0.0
bedrooms,687,residential_rent,19701,3.487132632861276
bathrooms,0,residential_rent,19701,0.0
size,0,residential_rent,19701,0.0
category,0,residential_rent,19701,0.0
page,0,residential_rent,19701,0.0
scraped_at_utc,0,residential_rent,19701,0.0
record_type,0,residential_rent,19701,0.0
target_log_price,0,residential_rent,19701,0.0
is_furnished,0,residential_rent,19701,0.0
has_garden,0,residential_rent,19701,0.0
sea_view,0,residential_rent,19701,0.0
pool_view,0,residential_rent,19701,0.0
corner_unit,0,residential_rent,19701,0.0
fully_finished,0,residential_rent,19701,0.0
core_shell,0,residential_rent,19701,0.0
semi_furnished,0,residential_rent,19701,0.0
hotel_apartment,0,residential_rent,19701,0.0
luxury,0,residential_rent,19701,0.0
prime_location,0,residential_rent,19701,0.0
is_duplex,0,residential_rent,19701,0.0
is_penthouse,0,residential_rent,19701,0.0
is_ground_floor,0,residential_rent,19701,0.0
is_clinic,0,residential_rent,19701,0.0
is_office,0,residential_rent,19701,0.0
is_shop,0,residential_rent,19701,0.0
is_admin,0,residential_rent,19701,0.0
has_nanny_room,0,residential_rent,19701,0.0
has_driver_room,0,residential_rent,19701,0.0
has_private_entrance,0,residential_rent,19701,0.0
has_amenity_ba,0,residential_rent,19701,0.0
has_amenity_se,0,residential_rent,19701,0.0
has_amenity_ac,0,residential_rent,19701,0.0
has_amenity_bk,0,residential_rent,19701,0.0
has_amenity_cp,0,residential_rent,19701,0.0
has_amenity_bw,0,residential_rent,19701,0.0
has_amenity_lb,0,residential_rent,19701,0.0
has_amenity_bl,0,residential_rent,19701,0.0
has_amenity_sy,0,residential_rent,19701,0.0
has_amenity_wc,0,residential_rent,19701,0.0
has_amenity_ss,0,residential_rent,19701,0.0
has_amenity_sp,0,residential_rent,19701,0.0
has_amenity_st,0,residential_rent,19701,0.0
has_amenity_pg,0,residential_rent,19701,0.0
has_amenity_mr,0,residential_rent,19701,0.0
has_amenity_co,0,residential_rent,19701,0.0
has_amenity_vw,0,residential_rent,19701,0.0
has_amenity_pp,0,residential_rent,19701,0.0
amenities_count,0,residential_rent,19701,0.0
geo_validation_status,0,residential_rent,19701,0.0
h3_res8,0,residential_rent,19701,0.0
h3_res9,0,residential_rent,19701,0.0
compound_name,0,residential_rent,19701,0.0
compound_match_confidence,0,residential_rent,19701,0.0
is_known_compound,0,residential_rent,19701,0.0
compound_frequency,0,residential_rent,19701,0.0
deterministic_price,19701,residential_rent,19701,100.0
comparable_count,19701,residential_rent,19701,100.0
confidence_score,19701,residential_rent,19701,100.0
tier_reached,19701,residential_rent,19701,100.0
retrieval_radius,19701,residential_rent,19701,100.0
median_price_per_sqm,19701,residential_rent,19701,100.0
